Name,Symbol
Bitcoin,BTC
Ethereum,ETH
Litecoin,LTC
Tether,USDT
Tron,TRX
USD Coin,USDC
Binance-Coin,BNB
Bitcoin Cash,BCH
Dogecoin,DOGE
Monero,XMR
Stellar,XLM
Tezos,XTZ
EOS,EOS
SHIBA INU,SHIB
Chainlink,LINK
Ethereum Classic,ETC
Ripple,XRP
Cardano,ADA
Dash,DASH
Zcash,ZEC
SOL,SOL
LUNA,LUNA
APE,APE
DOT,DOT
MATIC,MATIC
NEAR,NEAR
TWT,TWT
RVN,RVN
WOO,WOO
GAL,GAL
GNO,GNO
ASTR,ASTR
NEXO,NEXO
LOKA,LOKA
FIL,FIL
OCEAN,OCEAN
COMP,COMP
TOMO,TOMO
KEY,KEY
VITE,VITE
BAT,BAT
GALA,GALA
RAD,RAD
ANKR,ANKR
CFX,CFX
CELO,CELO
IOTX,IOTX
CRV,CRV
MITH,MITH
CELR,CELR
OXT,OXT
FIO,FIO
SCRT,SCRT
AUDIO,AUDIO
FLM,FLM
MDX,MDX
QTUM,QTUM
BNT,BNT
XVS,XVS
BICO,BICO
UMA,UMA
AKRO,AKRO
LSK,LSK
DOCK,DOCK
REP,REP
BEAM,BEAM
VOXEL,VOXEL
MANA,MANA
RARE,RARE
ADX,ADX
ONT,ONT
SAND,SAND
COCOS,COCOS
ALICE,ALICE
MTL,MTL
WING,WING
BAKE,BAKE
